scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA36 confidence task-08122021155110 Cam1,img082996.png,,,448.0498094719651,409.8227311610545,495.2929854576561,456.0160587915079,473.2461699976669,512.707869974337,171.9396920444824,466.5145423438836,323.1178551986934,493.8105995800606
labeled-data,PMA36 confidence task-08122021155110 Cam1,img112623.png,,,431.25223578816383,398.2743992534412,480.59510848433,458.115755501983,474.2960183529045,512.707869974337,178.2387821759079,461.2653005676957,322.0680068434559,496.96014464577337
labeled-data,PMA36 confidence task-08122021155110 Cam1,img126888.png,260.1269538844389,384.6263706353526,172.98954039972,351.0312232677502,209.73423283303515,425.5704564896181,466.94707986624144,509.5583249086243,182.43817559685817,470.71393576483393,321.0181584882183,496.96014464577337
labeled-data,PMA36 confidence task-08122021155110 Cam1,img163441.png,,,460.64798973481606,401.4239443191539,511.0407107862197,468.6142390543588,471.14647328719184,510.6081732638619,175.08923711019514,461.2653005676957,321.0181584882183,498.0099930010109
labeled-data,PMA36 confidence task-08122021155110 Cam1,img171677.png,,,313.66922000155523,378.3272805039272,347.2643673691577,452.86651372579513,464.8473831557664,509.5583249086243,172.98954039972,463.3649972781709,325.2175519091686,498.0099930010109
labeled-data,PMA36 confidence task-08122021155110 Cam1,img187452.png,,,175.08923711019514,345.7819814915623,203.4351427016097,426.6203048448557,465.897231511004,512.707869974337,176.1390854654327,465.4646939886461,319.9683101329807,495.91029629053577
labeled-data,PMA36 confidence task-08122021155110 Cam1,img204821.png,256.9774088187261,380.4269772144023,,,196.0862042149467,414.0221245820048,463.7975348005288,513.7577183295746,171.9396920444824,466.5145423438836,324.167703553931,494.8604479352982
labeled-data,PMA36 confidence task-08122021155110 Cam1,img237504.png,,,435.45162920911423,394.0750058324908,487.944046970993,459.1656038572206,469.04677657671664,513.7577183295746,169.83999533400726,463.3649972781709,317.86861342250563,492.760751224823
labeled-data,PMA36 confidence task-08122021155110 Cam1,img241546.png,,,453.299051248153,405.62333774010415,499.4923788786064,461.2653005676957,476.3957150633797,513.7577183295746,174.03938875495754,463.3649972781709,319.9683101329807,495.91029629053577
labeled-data,PMA36 confidence task-08122021155110 Cam1,img246988.png,,,436.5014775643517,397.2245508982036,486.8941986157554,453.91636208103273,463.7975348005288,513.7577183295746,175.08923711019514,459.1656038572206,318.9184617777431,495.91029629053577
labeled-data,PMA36 confidence task-08122021155110 Cam1,img259709.png,255.9275604634886,385.6762189905902,170.8898436892448,347.88167820203745,200.28559763589695,418.2215180029551,465.897231511004,512.707869974337,179.28863053114543,469.6640874095964,327.3172486196438,499.0598413562485
labeled-data,PMA36 confidence task-08122021155110 Cam1,img261694.png,,,444.9002644062524,408.7728828058169,504.7416206547943,463.3649972781709,467.99692822147904,514.8075666848122,180.33847888638303,467.5643906991212,316.81876506726803,498.0099930010109
labeled-data,PMA36 confidence task-08122021155110 Cam1,img261929.png,396.6072400653238,387.7759157010654,288.4728594758534,355.2306166887005,324.167703553931,414.0221245820048,462.7476864452912,515.8574150400498,172.98954039972,465.4646939886461,316.81876506726803,492.760751224823
labeled-data,PMA36 confidence task-08122021155110 Cam1,img286644.png,262.226650594914,377.2774321486896,,,191.88681079399635,414.0221245820048,467.99692822147904,514.8075666848122,175.08923711019514,468.6142390543588,316.81876506726803,500.1096897114861
labeled-data,PMA36 confidence task-08122021155110 Cam1,img307928.png,,,449.0996578272027,403.52364102962906,505.7914690100319,463.3649972781709,470.09662493195424,515.8574150400498,177.1889338206703,468.6142390543588,316.81876506726803,498.0099930010109
labeled-data,PMA36 confidence task-08122021155110 Cam1,img311583.png,405.0060269072244,424.52060813438055,,,322.0680068434559,432.9193949762812,466.94707986624144,515.8574150400498,176.1390854654327,467.5643906991212,319.9683101329807,499.0598413562485
labeled-data,PMA36 confidence task-08122021155110 Cam1,img316903.png,254.877712108251,384.6263706353526,,,191.88681079399635,414.0221245820048,465.897231511004,512.707869974337,168.79014697876966,469.6640874095964,322.0680068434559,500.1096897114861
labeled-data,PMA36 confidence task-08122021155110 Cam1,img320820.png,,,450.1495061824403,416.1218212924799,501.5920755890816,460.21545221245816,465.897231511004,519.0069601057625,175.08923711019514,470.71393576483393,315.76891671203043,504.3090831324364
labeled-data,PMA36 confidence task-08122021155110 Cam1,img386280.png,,,465.897231511004,422.4209114239054,496.3428338128937,459.1656038572206,462.7476864452912,520.0568084610001,168.79014697876966,471.7637841200715,317.86861342250563,504.3090831324364
labeled-data,PMA36 confidence task-08122021155110 Cam1,img425993.png,268.52574072633945,387.7759157010654,197.13605257018423,340.5327397153744,192.93665914923395,418.2215180029551,467.99692822147904,517.9571117505249,168.79014697876966,469.6640874095964,316.81876506726803,503.2592347771988
