scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA17_2020-12-08-103710 Cam2,img016461.png,,,256.25991912279324,527.7171241931723,378.0812116027684,713.2603235088266,1073.3996656038576,829.4590947974182,346.22025818492864,816.3398786841901,709.809961894393,820.0882261451125
labeled-data,PMA17_2020-12-08-103710 Cam2,img021624.png,,,,,1157.7374834746092,604.5582471420796,1082.770534256163,814.4657049537291,364.9619954895403,810.7173574928067,702.3132669725484,814.4657049537291
labeled-data,PMA17_2020-12-08-103710 Cam2,img024383.png,,,,,348.0944319153898,732.0020608134382,1082.770534256163,814.4657049537291,338.7235632630841,820.0882261451125,704.1874407030094,833.2074422583405
labeled-data,PMA17_2020-12-08-103710 Cam2,img025496.png,,,989.0618477331052,542.7105140368615,1109.0089664826191,707.6378023174432,1084.6447079866243,806.9690100318844,336.8493895326229,812.5915312232678,711.6841356248541,818.2140524146513
labeled-data,PMA17_2020-12-08-103710 Cam2,img030180.png,,,,,,,1067.7771444124735,812.5915312232678,359.3394742981568,821.9623998755736,704.1874407030094,820.0882261451125
labeled-data,PMA17_2020-12-08-103710 Cam2,img033522.png,,,,,,,1062.1546232210903,821.9623998755736,342.4719107240064,820.0882261451125,707.9357881639318,818.2140524146513
labeled-data,PMA17_2020-12-08-103710 Cam2,img035504.png,443.6772921689088,540.8363403064003,,,346.22025818492864,724.5053658915936,1067.7771444124735,808.8431837623455,353.7169531067733,814.4657049537291,704.1874407030094,810.7173574928067
labeled-data,PMA17_2020-12-08-103710 Cam2,img042204.png,556.1277159965781,529.5912979236334,,,372.4586904113849,651.4125904036084,1073.3996656038576,812.5915312232678,351.84277937631214,818.2140524146513,715.4324830857764,814.4657049537291
labeled-data,PMA17_2020-12-08-103710 Cam2,img051017.png,,,,,1079.022186795241,726.3795396220547,1073.3996656038576,814.4657049537291,351.84277937631214,812.5915312232678,704.1874407030094,818.2140524146513
labeled-data,PMA17_2020-12-08-103710 Cam2,img054049.png,,,,,1069.651318142935,718.8828447002101,1073.3996656038576,823.8365736060348,349.96860564585097,818.2140524146513,715.4324830857764,823.8365736060348
labeled-data,PMA17_2020-12-08-103710 Cam2,img060269.png,,,,,1073.3996656038576,726.3795396220547,1064.0287969515516,820.0882261451125,353.7169531067733,818.2140524146513,715.4324830857764,814.4657049537291
labeled-data,PMA17_2020-12-08-103710 Cam2,img066424.png,,,,,1064.0287969515512,722.6311921611324,1071.5254918733965,820.0882261451125,348.0944319153898,818.2140524146513,715.4324830857764,823.8365736060348
labeled-data,PMA17_2020-12-08-103710 Cam2,img066588.png,441.80311843844765,559.5780776110118,,,338.7235632630841,728.2537133525159,1071.5254918733965,814.4657049537291,338.7235632630841,814.4657049537291,717.3066568162377,818.2140524146513
labeled-data,PMA17_2020-12-08-103710 Cam2,img068449.png,1168.9825258573765,553.9555564196284,,,1069.651318142935,709.5119760479042,1073.3996656038576,812.5915312232678,340.59773699354525,818.2140524146513,707.9357881639318,829.4590947974182
labeled-data,PMA17_2020-12-08-103710 Cam2,img071056.png,,,,,,,1077.1480130647797,818.2140524146513,340.59773699354525,823.8365736060348,704.1874407030094,823.8365736060348
labeled-data,PMA17_2020-12-08-103710 Cam2,img072957.png,,,,,1065.902970682013,711.3861497783655,1064.0287969515516,806.9690100318844,346.22025818492864,816.3398786841901,696.690745781165,820.0882261451125
labeled-data,PMA17_2020-12-08-103710 Cam2,img085779.png,,,,,1062.1546232210903,722.6311921611324,1069.651318142935,810.7173574928067,355.59112683723447,818.2140524146513,704.1874407030094,814.4657049537291
labeled-data,PMA17_2020-12-08-103710 Cam2,img087369.png,,,966.5717629675712,510.8495606190219,1082.770534256163,636.4192005599192,1079.022186795241,818.2140524146513,346.22025818492864,821.9623998755736,719.1808305466988,814.4657049537291
labeled-data,PMA17_2020-12-08-103710 Cam2,img093987.png,814.7636908002177,507.10121315809954,,,668.5781398242476,655.1609378645308,1079.022186795241,814.4657049537291,338.7235632630841,814.4657049537291,707.9357881639318,823.8365736060348
labeled-data,PMA17_2020-12-08-103710 Cam2,img096034.png,434.306423516603,544.5846877673226,,,327.4785208803171,717.0086709697489,1082.770534256163,820.0882261451125,357.46530056769564,816.3398786841901,704.1874407030094,818.2140524146513
