scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img095568.png,286.3731627653783,394.0750058324908,,,225.4819581615988,441.31818181818176,533.0875262462088,506.40877984291154,222.33241309588607,496.96014464577337,381.90936309199776,510.6081732638619
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img106508.png,305.27043315965466,403.52364102962906,,,222.33241309588607,438.168636752469,536.2370713119216,505.358931487674,238.08013842444973,501.15953806672366,381.90936309199776,508.5084765533867
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img141295.png,,,485.8443502605179,399.3242476086787,546.7355548642973,451.81666537055753,525.7385877595458,505.358931487674,230.7311999377867,496.96014464577337,380.85951473676016,504.3090831324364
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img141570.png,,,474.2960183529045,408.7728828058169,524.6887394043082,453.91636208103273,530.9878295357337,503.2592347771988,232.83089664826184,494.8604479352982,379.80966638152256,511.6580216190994
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img158408.png,,,511.0407107862197,393.0251574772533,559.3337351271482,440.2683334629442,534.1373746014464,495.91029629053577,224.43210980636127,496.96014464577337,381.90936309199776,507.45862819814914
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img167982.png,291.6224045415662,398.2743992534412,,,228.63150322731155,440.2683334629442,525.7385877595458,503.2592347771988,233.88074500349944,499.0598413562485,378.7598180262851,502.20938642196126
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img170707.png,,,519.4394976281203,400.37409596391626,557.2340384166731,454.9662104362703,530.9878295357337,504.3090831324364,232.83089664826184,498.0099930010109,376.6601213158099,501.15953806672366
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img197370.png,310.51967493584254,418.2215180029551,,,239.12998677968733,446.5674235943696,526.7884361147834,505.358931487674,231.7810482930243,498.0099930010109,373.5105762500972,505.358931487674
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img217626.png,296.8716463177541,405.62333774010415,,,226.5318065168364,447.6172719496072,526.7884361147834,503.2592347771988,227.58165487207395,499.0598413562485,381.90936309199776,507.45862819814914
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img221511.png,297.9214946729916,404.5734893848666,,,234.93059335873704,439.2184851077066,526.7884361147834,504.3090831324364,229.6813515825491,495.91029629053577,381.90936309199776,507.45862819814914
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img221637.png,295.8217979625165,402.47379267439146,,,238.08013842444973,436.0689400419938,525.7385877595458,502.20938642196126,233.88074500349944,498.0099930010109,378.7598180262851,506.40877984291154
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img228678.png,289.522707831091,401.42394431915386,,,230.7311999377867,437.1187883972314,521.5391943385955,503.2592347771988,226.5318065168364,500.1096897114861,375.6102729605723,506.40877984291154
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img255031.png,,,481.6449568395676,398.2743992534412,526.7884361147834,446.5674235943696,524.6887394043082,502.20938642196126,229.6813515825491,498.0099930010109,380.85951473676016,504.3090831324364
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img280992.png,306.32028151489226,412.9722762267672,,,241.2296834901624,444.46772688389456,527.8382844700209,502.20938642196126,227.58165487207395,503.2592347771988,374.5604246053347,509.5583249086243
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img341279.png,542.536161443347,150.510187417373,499.4923788786064,186.2050314954506,,,530.9878295357337,508.5084765533867,234.93059335873704,495.91029629053577,379.80966638152256,505.358931487674
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img346383.png,,,,,,,528.8881328252585,505.358931487674,234.93059335873704,500.1096897114861,379.80966638152256,509.5583249086243
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img351976.png,,,227.58165487207395,134.76246208880934,,,535.187222956684,504.3090831324364,231.7810482930243,499.0598413562485,387.1586048681857,509.5583249086243
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img354497.png,,,,,,,526.7884361147834,511.6580216190995,237.03029006921216,504.30908313243634,374.5604246053347,506.40877984291154
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img365470.png,313.66922000155523,378.3272805039272,,,241.2296834901624,409.8227311610545,530.9878295357337,505.358931487674,232.83089664826184,499.0598413562485,374.5604246053347,508.5084765533867
labeled-data,PMA36 Confidence Task-09022021102210 Cam1,img376761.png,,,477.4455634186172,402.47379267439146,539.3866163776343,443.41787852865696,526.7884361147834,509.5583249086243,235.98044171397464,499.0598413562485,377.7099696710475,509.5583249086243
