scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0079694.png,401.8564818415117,301.68835057158407,248.5786219768255,317.4360759001477,321.0181584882183,433.9692433315188,604.4772144023641,521.1066568162377,138.3445446768799,528.4555953029006,372.4607278948596,528.4555953029006
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0101683.png,200.28559763589695,364.67925188583865,62.75546309977443,363.6294035306011,122.59681934831627,454.9662104362703,592.9288824947507,525.306050237188,135.1949996111672,527.405746947663,373.5105762500972,526.3558985924255
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0133918.png,655.9197838090053,323.7351660315732,533.0875262462088,358.3801617544132,621.2747880861652,454.9662104362703,601.3276693366513,525.306050237188,144.64363480830542,522.1565051714751,371.410879539622,528.4555953029006
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0150687.png,575.0814604557119,320.58562096586047,410.2552686834123,278.5916867563574,446.9999611167275,393.0251574772533,597.128275915701,525.306050237188,139.3943930321175,525.306050237188,365.1117894081965,526.3558985924255
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0229575.png,474.2960183529045,359.4300101096508,306.32028151489226,352.08107162298774,371.410879539622,465.4646939886461,595.0285792052258,523.2063535267127,129.9457578349793,524.2562018819503,375.6102729605723,520.0568084610001
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0420831.png,104.74939730927748,374.1278870829768,,,,,599.2279726261762,515.8574150400498,147.7931798740181,521.1066568162377,371.410879539622,517.9571117505249
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0543287.png,656.9696321642429,324.7850143868108,534.1373746014464,353.13091997822534,616.0255463099774,457.0659071467454,601.3276693366513,519.0069601057625,141.49408974259268,520.0568084610001,372.4607278948596,522.1565051714753
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0824640.png,651.720390388055,320.58562096586047,507.8911657205069,375.1777354382144,601.3276693366513,449.7169686600824,596.0784275604634,513.7577183295746,141.49408974259268,521.1066568162377,370.3610311843844,521.1066568162377
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img0843070.png,689.5149311766078,140.01170386499723,620.2249397309276,271.24274826969435,,,598.1781242709386,510.6081732638619,138.34454467688,520.0568084610001,367.2114861186717,515.8574150400498
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img1153343.png,,,,,,,592.9288824947507,517.9571117505249,141.49408974259268,525.306050237188,366.1616377634341,524.2562018819503
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img1267200.png,491.0935920367058,314.286530834435,310.51967493584254,309.0372890582471,381.90936309199776,421.3710630686678,598.1781242709386,513.7577183295746,139.3943930321175,524.2562018819503,369.3111828291468,526.3558985924255
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img1601677.png,,,,,,,597.128275915701,521.1066568162377,142.54393809783028,521.1066568162377,369.3111828291468,526.3558985924255
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img1669357.png,665.3684190061435,304.8378956372968,526.7884361147834,354.18076833346294,604.4772144023641,458.115755501983,597.128275915701,514.8075666848122,141.49408974259268,522.1565051714751,367.2114861186717,523.2063535267127
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img1748656.png,,,,,,,596.0784275604634,519.0069601057625,141.49408974259268,523.2063535267127,365.1117894081965,521.1066568162377
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img1870966.png,577.1811571661871,254.44517458589317,418.65405552531297,318.48592425538527,528.8881328252585,382.5266739248775,599.2279726261762,515.8574150400498,141.49408974259268,520.0568084610001,370.3610311843844,523.2063535267127
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img1945108.png,593.9787308499883,312.18683412395984,427.0528423672136,327.9345594525235,534.1373746014464,421.3710630686678,595.0285792052258,515.8574150400498,140.44424138735508,527.405746947663,363.0120926977214,522.1565051714751
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img3143747.png,267.47589237110185,355.2306166887005,112.0983357959405,293.28956372968344,149.8928765844933,438.168636752469,595.0285792052258,519.0069601057625,145.69348316354296,521.1066568162377,368.2613344739093,521.1066568162377
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img3172217.png,,,192.93665914923395,318.48592425538527,319.9683101329807,391.9753091220157,599.2279726261762,514.8075666848122,136.2448479664048,517.9571117505249,360.9123959872462,519.0069601057625
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img3281423.png,,,,,,,595.0285792052258,513.7577183295746,137.2946963216424,521.1066568162377,364.0619410529589,522.1565051714751
labeled-data,PMA37 2021_11_26_10_38_43 Cam2,img3357852.png,,,527.8382844700209,346.83182984679985,605.5270627576016,458.115755501983,598.1781242709386,519.0069601057625,141.49408974259268,523.2063535267127,367.2114861186717,519.0069601057625
