scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,rightPort,rightPort,centrePort,centrePort,leftPort,leftPort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ML118_051116 Cam2,img015211.png,229.46110102090088,273.5459571769302,,,130.41831162734346,336.5731867910122,498.4523131,393.97298518955114,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img018456.png,498.4523131,270.1694984476044,,,428.10942292957003,328.13203996769766,496.7640838,391.15926958177965,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img021022.png,555.2893684008426,239.21862676211774,,,475.9425882616858,338.8241592772294,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img024350.png,233.96304599333533,266.23029659672426,,,146.73786215241827,336.5731867910122,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img025809.png,504.64248746095535,272.4204709338216,,,427.5466798080157,331.50849869702347,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img036528.png,162.49466955593877,258.3518929,,,100.03018306341107,316.8771775366115,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img037606.png,481.57001947722887,284.8008196080163,,,413.4781017691582,336.0104436694579,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img037683.png,224.39641292691212,270.7322415691587,,,140.54768781532093,334.32221430479495,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img042353.png,416.29181737692966,303.9340857408626,,,336.3822941162186,356.26919604541285,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img044188.png,,,,,,,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
labeled-data,ML118_051116 Cam2,img048070.png,78.64594444434755,25.37624057148233,133.7947703566693,95.15638764421598,,,498.4523131,392.28475582488824,318.37451422648087,391.7220127,133.23202723511497,386.09458148779083
