step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.001062964671291411,0.5465819835662842,0.014196030795574188,0.014196030795574188,,,,
2,,,,,0.0008046578732319176,0.45905184745788574,0.011878625489771366,0.011878625489771366,,,,
3,,,,,0.0007826015935279429,0.37510594725608826,0.009768950752913952,0.009768950752913952,,,,
4,,,,,0.000732522807084024,0.31070855259895325,0.008133974857628345,0.008133974857628345,,,,
5,,,,,0.0007448255782946944,0.2812753915786743,0.007404298521578312,0.007404298521578312,,,,
6,,,,,0.0007636084337718785,0.2554257810115814,0.00676744943484664,0.00676744943484664,,,,
7,,,,,0.0007623699493706226,0.2579396367073059,0.006829675752669573,0.006829675752669573,,,,
8,,,,,0.0007235709927044809,0.243867889046669,0.006458483636379242,0.006458483636379242,,,,
9,,,,,0.0007387488149106503,0.21699270606040955,0.005794191733002663,0.005794191733002663,,,,
10,0.0003901415620930493,0.2504677474498749,0.00645676301792264,0.00645676301792264,0.0007129543810151517,0.21280992031097412,0.005676725879311562,0.005676725879311562,2.4174917491749173,2.608695652173913,234.64777513586955,7.70771598815918
11,,,,,0.0006683178362436593,0.21793745458126068,0.005782596301287413,0.005782596301287413,,,,
12,,,,,0.0006819466943852603,0.20660527050495148,0.005506105720996857,0.005506105720996857,,,,
13,,,,,0.0006804487784393132,0.197409525513649,0.005275461822748184,0.005275461822748184,,,,
14,,,,,0.0006373838987201452,0.19887256622314453,0.005290505941957235,0.005290505941957235,,,,
15,,,,,0.0006800689734518528,0.19639553129673004,0.005249921698123217,0.005249921698123217,,,,
16,,,,,0.000653651135507971,0.19700346887111664,0.00525191193446517,0.00525191193446517,,,,
17,,,,,0.000657130207400769,0.18149492144584656,0.004865937400609255,0.004865937400609255,,,,
18,,,,,0.0006457034032791853,0.18077297508716583,0.0048421756364405155,0.0048421756364405155,,,,
19,,,,,0.0006319068488664925,0.17784817516803741,0.004762158263474703,0.004762158263474703,,,,
20,0.000353724870365113,0.23107968270778656,0.0059538548812270164,0.0059538548812270164,0.0006196509930305183,0.18434764444828033,0.004918516147881746,0.004918516147881746,0.3693830921553694,1.7391304347826086,227.13155570652174,73.60441589355469
21,,,,,0.0006512942491099238,0.17022256553173065,0.004581210669130087,0.004581210669130087,,,,
22,,,,,0.0006150158005766571,0.1675269901752472,0.004495682660490274,0.004495682660490274,,,,
23,,,,,0.000593622971791774,0.17136159539222717,0.004580850712954998,0.004580850712954998,,,,
24,,,,,0.0005847362917847931,0.15955175459384918,0.004281162284314632,0.004281162284314632,,,,
25,,,,,0.0005884128622710705,0.1700654923915863,0.004545843694359064,0.004545843694359064,,,,
26,,,,,0.0006065185298211873,0.1642511785030365,0.004409538581967354,0.004409538581967354,,,,
27,,,,,0.0006035474361851811,0.16818872094154358,0.004506491590291262,0.004506491590291262,,,,
