scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,rightPort,rightPort,centrePort,centrePort,leftPort,leftPort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ML124_060317 Cam2,img012069.png,182.1906788103394,282.5498471217991,,,116.91247671004018,354.0182235591956,500.70328561007517,418.1709394163862,315.5607986187093,413.1062513223975,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img030051.png,,,429.23490917267867,302.808599497754,504.079744339401,357.39468228852144,500.70328561007517,418.1709394163862,315.5607986187093,413.1062513223975,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img030596.png,,,266.60214704348493,297.74391140376525,350.4508721550762,379.3416640291393,500.70328561007517,418.1709394163862,315.5607986187093,413.1062513223975,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img031372.png,,,455.6838358857309,294.36745267443945,519.2738086213672,363.02211350406446,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img032909.png,202.4494311862943,279.73613151402753,,,112.97327485916006,307.31054447018835,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img038697.png,,,438.8015422391018,302.808599497754,519.8365517429214,327.56929684614335,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img042358.png,,,,,108.47132988672561,360.7711410178472,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img050716.png,,,446.11720281930775,299.43214076842816,527.7149554446817,329.25752621080625,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img052860.png,,,428.67216605112435,303.9340857408626,516.4600930135956,326.44381060303476,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img053732.png,201.88668806474,287.6145352157878,,,116.91247671004018,319.69089314438304,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img056665.png,,,281.7962113254511,289.3027645804507,333.56857850844705,374.83971905670484,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img058424.png,510.8326617980527,292.67922330977655,,,451.18189091329646,374.2769759351505,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img066179.png,227.77287165623798,285.9263058511249,,,155.7417520972871,336.0104436694579,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img069158.png,,,419.1055329847012,300.5576270115368,487.19745069277195,357.39468228852144,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img069892.png,246.90613778908428,253.84994792252957,,,188.94359626899103,337.1359299125665,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img070805.png,,,398.28403748719194,295.49293891754803,462.43675334438257,365.2730859902817,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img072316.png,195.13377060608835,289.865507702005,,,118.03796295314879,324.1928381168175,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img073489.png,,,411.7898724044952,302.808599497754,485.50922132810905,353.4554804376413,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img075075.png,375.77431262501983,336.0104436694579,,,228.89835789934656,380.46715027224786,500.70328561007517,418.1709394163862,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
labeled-data,ML124_060317 Cam2,img076103.png,457.9348083719481,294.93019579599377,,,336.3822941162186,369.77503096271613,499.01505624541227,419.8591687810491,318.37451422648087,415.919966930169,132.10654099200636,410.2925357146259
