scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA18_2020-11-23-132359 Cam2,img10522.png,,,932.8366358192706,535.2138191150168,1041.5387121860176,698.2669336651373,1034.042017264173,823.8365736060348,310.6109573061667,855.6975270238744,661.081444902403,844.4524846411075
labeled-data,PMA18_2020-11-23-132359 Cam2,img15513.png,,,535.5118049615054,533.3396453845556,653.5847499805583,730.1278870829769,1035.9161909946342,823.8365736060348,303.11426238432205,851.9491795629522,676.0748347460923,836.9557897192628
labeled-data,PMA18_2020-11-23-132359 Cam2,img17124.png,713.5583093553154,567.0747725328565,513.0217201959716,570.8231199937788,623.5979702931799,771.3597091531224,1017.1744536900228,825.710747336496,289.995046271094,855.6975270238744,657.3330974414806,835.0816159888018
labeled-data,PMA18_2020-11-23-132359 Cam2,img17855.png,702.3132669725484,501.478691966716,492.4058091608989,505.2270394276384,,,1019.048627420484,820.0882261451125,297.49174119293866,850.0750058324909,662.955618632864,835.0816159888018
labeled-data,PMA18_2020-11-23-132359 Cam2,img20048.png,1099.6380978303137,505.2270394276384,914.0948985146592,553.9555564196284,,,1022.796974881406,818.2140524146513,295.6175674624775,848.2008321020298,672.32648728517,838.829963449724
labeled-data,PMA18_2020-11-23-132359 Cam2,img20669.png,,,,,,,1020.922801150945,827.5849210669571,297.49174119293866,855.6975270238744,659.2072711719419,842.5783109106463
labeled-data,PMA18_2020-11-23-132359 Cam2,img26151.png,822.2603857220623,520.2204292713276,,,640.4655338673302,668.2801539777588,1028.4194960727896,820.0882261451125,280.62417761878817,853.8233532934132,653.5847499805583,836.9557897192628
labeled-data,PMA18_2020-11-23-132359 Cam2,img29338.png,775.4060424605335,568.9489462633177,,,647.9622287891749,720.7570184306712,1022.796974881406,820.0882261451125,297.49174119293866,850.0750058324909,657.3330974414806,838.829963449724
labeled-data,PMA18_2020-11-23-132359 Cam2,img32837.png,749.1676102340772,570.8231199937788,559.8760634575004,507.10121315809954,631.0946652150245,733.8762345438993,1034.042017264173,827.5849210669571,304.9884361147832,842.5783109106463,657.3330974414806,835.0816159888018
labeled-data,PMA18_2020-11-23-132359 Cam2,img38324.png,,,,,,,1026.5453223423283,829.4590947974182,306.8626098452444,853.8233532934132,659.2072711719419,846.3266583715687
labeled-data,PMA18_2020-11-23-132359 Cam2,img38616.png,376.2070378723072,565.2005988023953,183.1671436348081,548.333035228245,276.87583015786595,743.2471031962051,1028.4194960727896,820.0882261451125,304.9884361147832,850.0750058324909,674.200661015631,848.2008321020298
labeled-data,PMA18_2020-11-23-132359 Cam2,img42767.png,,,899.1015086709698,570.8231199937788,1056.532102029707,711.3861497783655,1030.2936698032509,829.4590947974182,297.49174119293866,853.8233532934132,655.4589237110196,846.3266583715687
labeled-data,PMA18_2020-11-23-132359 Cam2,img46277.png,378.0812116027684,583.9423361070069,186.91549109573043,570.8231199937788,301.2400886538609,745.1212769266663,1024.6711486118677,823.8365736060348,299.3659149233998,851.9491795629522,662.955618632864,835.0816159888018
labeled-data,PMA18_2020-11-23-132359 Cam2,img48328.png,,,889.7306400186641,540.8363403064003,1034.042017264173,679.5251963605258,1026.5453223423283,827.5849210669571,299.3659149233998,850.0750058324909,651.7105762500972,850.0750058324909
labeled-data,PMA18_2020-11-23-132359 Cam2,img49753.png,376.2070378723072,570.8231199937788,,,280.62417761878817,743.2471031962051,1019.0486274204836,823.8365736060348,297.49174119293866,855.6975270238744,662.955618632864,833.2074422583405
labeled-data,PMA18_2020-11-23-132359 Cam2,img55769.png,734.1742203903881,565.2005988023953,507.3991990045881,499.6045182362549,623.5979702931799,711.3861497783655,1030.2936698032509,821.9623998755736,288.12087254063283,846.3266583715687,662.955618632864,842.5783109106463
labeled-data,PMA18_2020-11-23-132359 Cam2,img56070.png,383.7037327941519,550.2072089587061,,,269.3791352360213,700.1411073955985,1032.1678435337117,829.4590947974182,301.2400886538609,844.4524846411075,666.7039660937863,851.9491795629522
labeled-data,PMA18_2020-11-23-132359 Cam2,img57543.png,323.7301734193948,555.8297301500895,,,233.76983435725936,724.5053658915936,1035.9161909946342,821.9623998755736,291.8692200015552,848.2008321020298,651.7105762500972,835.0816159888018
labeled-data,PMA18_2020-11-23-132359 Cam2,img58741.png,,,198.1605334784973,574.5714674547011,329.35269461077826,737.6245820048216,1024.6711486118677,827.5849210669571,297.49174119293866,853.8233532934132,661.081444902403,838.829963449724
labeled-data,PMA18_2020-11-23-132359 Cam2,img59586.png,,,168.17375379111888,589.5648572983903,316.2334784975502,732.0020608134382,1024.6711486118677,825.710747336496,304.9884361147832,846.3266583715687,668.5781398242476,853.8233532934132
