scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0172484.png,251.7281670425382,370.97834201726414,183.48802395209577,323.7351660315732,179.28863053114543,401.42394431915386,465.897231511004,509.5583249086243,167.7402986235321,461.2653005676957,321.0181584882183,493.8105995800606
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0207646.png,494.2431371024185,397.2245508982036,401.8564818415117,356.2804650439381,418.65405552531297,422.4209114239054,461.6978380900536,510.6081732638619,175.08923711019514,464.4148456334085,312.61937164631775,492.760751224823
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0339595.png,255.9275604634886,385.6762189905902,,,183.48802395209577,416.1218212924799,465.897231511004,510.6081732638619,172.98954039972,463.3649972781709,321.0181584882183,490.6610545143479
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0400371.png,,,457.49844466910326,405.62333774010415,499.4923788786064,462.3151489229333,458.54829302434086,513.7577183295746,172.98954039972,461.2653005676957,317.86861342250563,490.6610545143479
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0412842.png,271.67528579205225,346.83182984679985,,,212.8837778987479,394.0750058324908,465.897231511004,513.7577183295746,165.64060191305697,457.0659071467454,313.66922000155523,494.8604479352982
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0466375.png,248.5786219768254,373.0780387277392,,,175.08923711019514,402.47379267439146,467.99692822147904,511.6580216190994,163.54090520258177,462.3151489229333,322.0680068434559,490.6610545143479
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0503383.png,261.1768022396765,378.3272805039272,,,187.6874173730461,411.9224278715296,466.94707986624144,512.707869974337,169.83999533400726,464.4148456334085,316.81876506726803,494.8604479352982
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0536017.png,418.65405552531297,397.2245508982036,,,329.4169453301189,426.6203048448557,466.94707986624144,513.7577183295746,167.7402986235321,462.3151489229333,318.9184617777431,494.8604479352982
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0579328.png,381.90936309199776,363.6294035306011,,,300.0211913834668,366.77894859631385,469.04677657671664,511.6580216190994,169.83999533400726,459.1656038572206,314.71906835679283,494.8604479352982
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0644070.png,250.6783186873007,383.5765222801151,,,182.43817559685817,411.9224278715296,472.1963216424293,510.6081732638619,169.83999533400726,461.2653005676957,318.9184617777431,490.6610545143479
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0644376.png,352.51360914534564,387.7759157010654,269.57558908157705,314.286530834435,270.62543743681465,386.7260673458278,463.7975348005288,512.707869974337,174.03938875495754,459.16560385722056,317.86861342250563,491.7109028695855
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0645246.png,377.7099696710475,395.1248541877284,291.6224045415662,366.77894859631385,339.91542888249467,428.7200015553309,470.09662493195424,508.5084765533867,178.2387821759079,460.21545221245816,314.71906835679283,489.6112061591104
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0654232.png,264.3263473053892,397.2245508982036,216.03332296446064,323.7351660315732,196.0862042149467,409.8227311610545,470.09662493195424,512.707869974337,167.7402986235321,466.5145423438836,324.1677035539311,494.8604479352982
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0769036.png,265.3761956606268,360.4798584648884,,,202.3852943463721,406.67318609534175,461.6978380900536,509.5583249086243,169.83999533400726,462.3151489229333,318.9184617777431,493.8105995800606
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0773570.png,,,437.5513259195893,404.5734893848666,479.5452601290924,458.115755501983,460.64798973481606,513.7577183295746,170.8898436892448,459.1656038572206,313.66922000155523,493.8105995800606
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0778950.png,,,430.2023874329264,403.52364102962906,478.4954117738548,450.76681701532,462.7476864452912,512.707869974337,170.8898436892448,460.21545221245816,322.0680068434559,492.760751224823
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0879225.png,246.4789252663503,375.1777354382144,,,185.5877206625709,402.47379267439146,473.2461699976669,511.6580216190994,170.8898436892448,459.1656038572206,315.76891671203043,487.5115094486352
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img0947845.png,253.8278637530134,375.1777354382144,,,188.7372657282836,403.52364102962906,464.8473831557664,509.5583249086243,168.79014697876966,459.1656038572206,318.9184617777431,492.760751224823
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img1015139.png,,,456.44859631386566,402.47379267439146,494.2431371024185,453.91636208103273,464.8473831557664,508.5084765533867,170.8898436892448,459.1656038572206,315.76891671203043,491.7109028695855
labeled-data,PMA36 Confidence Task 210824-08242021134330 Cam1,img1081606.png,64.85515981024957,414.0221245820048,,,,,471.14647328719184,514.8075666848122,168.79014697876966,460.21545221245816,322.0680068434559,492.760751224823
