scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,leftPort,leftPort,rightPort,rightPort,centrePort,centrePort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img0128120.png,,,485.8443502605179,393.0251574772533,542.536161443347,441.31818181818176,535.187222956684,488.5613578038728,239.12998677968733,489.6112061591104,389.2583015786609,494.8604479352982
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img0217563.png,,,474.2960183529045,376.227583793452,529.9379811804961,432.9193949762812,536.2370713119216,484.3619643829225,237.03029006921213,488.5613578038728,391.357998289136,493.8105995800606
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img0332109.png,505.7914690100319,345.7819814915623,413.4048137491251,381.4768255696399,485.8443502605179,407.72303445057935,542.536161443347,486.4616610933976,237.03029006921213,490.6610545143479,388.2084532234233,494.8604479352982
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img0445371.png,445.9501127614899,369.92849366202654,336.765883816782,370.97834201726414,382.95921144723536,440.2683334629442,538.3367680223967,485.41181273816005,238.08013842444973,487.5115094486352,386.1087565129481,490.6610545143479
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img0522637.png,,,487.944046970993,381.4768255696399,541.4863130881095,445.5175752391321,541.4863130881095,484.3619643829225,241.2296834901624,490.6610545143479,391.357998289136,492.760751224823
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img0686621.png,557.2340384166731,369.92849366202654,472.1963216424293,389.8756124115405,527.8382844700209,441.31818181818176,539.3866163776343,486.4616610933976,237.03029006921213,490.6610545143479,387.1586048681857,494.8604479352982
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img0973861.png,568.7823703242865,389.8756124115405,484.7945019052803,398.2743992534412,536.2370713119216,447.6172719496072,533.0875262462088,486.4616610933976,239.12998677968733,487.5115094486352,388.20845322342313,498.0099930010109
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1069111.png,571.9319153899992,379.3771288591647,482.6948051948051,397.2245508982036,540.4364647328719,441.31818181818176,537.2869196671592,483.3121160276849,239.12998677968733,489.6112061591104,390.30814993389833,494.8604479352982
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1279918.png,564.5829769033361,382.5266739248775,470.09662493195424,385.6762189905902,535.187222956684,438.168636752469,536.2370713119216,482.2622676724473,238.08013842444973,486.4616610933976,387.1586048681857,493.8105995800606
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1446043.png,475.3458667081421,365.72910024107625,372.4607278948596,359.4300101096508,424.95314565673846,424.52060813438055,535.187222956684,482.2622676724473,237.03029006921213,486.4616610933976,385.0589081577105,492.760751224823
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1476836.png,408.1555719729372,379.3771288591647,312.61937164631775,384.6263706353526,368.2613344739093,442.36803017341936,537.2869196671592,483.3121160276849,237.03029006921213,488.5613578038728,386.1087565129481,491.7109028695855
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1591118.png,293.7221012520413,399.3242476086787,205.5348394120849,388.8257640563029,239.12998677968733,452.86651372579513,536.2370713119216,488.5613578038728,243.3293802006376,492.760751224823,388.2084532234233,495.91029629053577
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1758364.png,295.8217979625165,404.57348938486655,207.63453612256,398.2743992534412,234.93059335873704,448.6671203048448,536.2370713119216,487.5115094486352,241.2296834901624,490.6610545143479,382.95921144723536,494.8604479352982
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1778428.png,461.6978380900536,352.08107162298774,356.7130025662959,362.5795551753636,411.3051170386499,406.67318609534175,535.187222956684,483.3121160276849,240.17983513492493,487.5115094486352,387.1586048681857,498.0099930010109
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1950955.png,706.312504860409,432.9193949762812,637.0225134147289,349.9813749125126,618.1252430204526,424.52060813438055,535.187222956684,486.4616610933976,242.2795318454,487.5115094486352,388.2084532234233,494.8604479352982
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img1979376.png,,,476.3957150633797,391.9753091220157,545.6857065090597,442.36803017341936,539.3866163776343,485.41181273816005,239.12998677968733,488.5613578038728,391.357998289136,494.8604479352982
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img2122450.png,331.5166420405941,364.67925188583865,241.2296834901624,348.93152655727505,288.4728594758534,419.2713663581927,535.187222956684,484.3619643829225,238.08013842444973,488.5613578038728,389.2583015786609,498.0099930010109
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img2213341.png,295.8217979625165,398.2743992534412,207.63453612256,391.9753091220157,242.2795318454,452.86651372579513,538.3367680223967,484.3619643829225,228.63150322731155,490.6610545143479,389.2583015786609,492.760751224823
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img2269317.png,293.7221012520413,390.9254607667781,212.8837778987479,386.7260673458278,240.17983513492493,453.91636208103273,538.3367680223967,487.5115094486352,233.88074500349944,490.6610545143479,388.2084532234233,496.96014464577337
labeled-data,PMA37 2021_11_12_10_13_39 Cam1,img2612641.png,381.90936309199776,372.02819037250174,286.3731627653783,343.6822847810872,317.86861342250563,406.67318609534175,537.2869196671592,485.41181273816005,239.12998677968733,488.5613578038728,386.1087565129481,491.7109028695855
