scorer,,,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul,Paul
bodyparts,,,leftEar,leftEar,rightEar,rightEar,implant,implant,rightPort,rightPort,centrePort,centrePort,leftPort,leftPort
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,RMM55 2025_04_15_12_37_20,img0130105.png,402.86638513940585,363.5132688243213,278.7815278771987,394.5344831398731,361.71579472081675,481.26726602213006,213.57366921389595,495.1951581638064,357.2841926757379,505.95762027328357,511.12409224061724,505.95762027328357
labeled-data,RMM55 2025_04_15_12_37_20,img0137279.png,527.5843284080528,369.2110428822798,421.8589653326008,423.65643943610536,,,212.30749720101628,497.72750218956577,359.8165367014973,505.95762027328357,508.5917482148579,507.8568782926031
labeled-data,RMM55 2025_04_15_12_37_20,img0166268.png,541.5122205497291,374.27573093379846,437.6861154935966,410.9947193073087,518.7211243178951,486.3319540736488,212.30749720101628,497.72750218956577,359.8165367014973,505.95762027328357,508.5917482148579,507.8568782926031
labeled-data,RMM55 2025_04_15_12_37_20,img0180911.png,530.1166724338121,371.11030090159926,435.1537714678373,416.6924933652672,507.3255762019782,477.46874998349114,212.30749720101628,497.72750218956577,359.8165367014973,505.95762027328357,508.5917482148579,507.8568782926031
labeled-data,RMM55 2025_04_15_12_37_20,img0196605.png,544.6776505819282,383.77202103039593,443.8106690175806,410.8178828554677,515.8197819567353,482.22691985346273,207.98082414184913,495.4285905589744,362.8004169610316,506.2299574998476,509.819022545139,508.03018532332646
labeled-data,RMM55 2025_04_15_12_37_20,img0197862.png,288.3910002572385,398.81636403227526,175.57672331922956,358.61127597458056,212.1813557299665,470.8254769714299,212.1813557299665,497.22881838245326,362.200341019872,506.83003344100723,510.4190984862986,510.43048908796493
labeled-data,RMM55 2025_04_15_12_37_20,img0214062.png,450.98092162883313,308.43478626405584,,,326.896064366626,379.9735049917569,212.30749720101628,497.72750218956577,359.8165367014973,505.95762027328357,508.5917482148579,507.8568782926031
labeled-data,RMM55 2025_04_15_12_37_20,img0311655.png,431.80915019438817,399.4164399734349,320.19502513869844,370.0127188566134,351.39897407899883,473.2257807360684,208.58090008300877,496.028666500134,359.1999613140739,505.629881558688,508.61887066281975,505.0298056175284
labeled-data,RMM55 2025_04_15_12_37_20,img0313223.png,290.19122808071734,388.61507303256167,174.3765714369103,360.41150379805947,210.38112790648762,461.8243378540356,215.208850734929,497.59782386665154,360.40011319639314,505.629881558688,510.4190984862986,507.43010938216685
